Reading,moteid,humidity,temperature,label
1,1,45.93,27.97,0
2,1,45.9,27.95,0
3,1,45.9,27.96,0
4,1,45.93,27.95,0
5,1,45.93,27.97,0
6,1,45.9,27.98,0
7,1,45.9,27.95,0
8,1,45.97,27.94,0
9,1,46,27.92,0
10,1,46.1,27.92,0
11,1,46.1,27.9,0
12,1,46.2,27.89,0
13,1,46.26,27.88,0
14,1,46.3,27.88,0
15,1,46.23,27.87,0
16,1,46.16,27.87,0
17,1,46.13,27.85,0
18,1,46.1,27.86,0
19,1,46.1,27.86,0
20,1,46.07,27.84,0
21,1,46.1,27.87,0
22,1,46.03,27.87,0
23,1,46.03,27.85,0
24,1,46.03,27.86,0
25,1,46.03,27.85,0
26,1,46.03,27.84,0
27,1,46.03,27.82,0
28,1,46.1,27.82,0
29,1,46.1,27.83,0
30,1,46.1,27.84,0
31,1,46.1,27.83,0
32,1,46.07,27.83,0
33,1,46.07,27.83,0
34,1,46.1,27.83,0
35,1,46.1,27.83,0
36,1,46.03,27.83,0
37,1,46,27.83,0
38,1,45.97,27.82,0
39,1,45.93,27.81,0
40,1,45.9,27.8,0
41,1,45.87,27.82,0
42,1,45.9,27.82,0
43,1,45.9,27.8,0
44,1,45.9,27.81,0
45,1,45.93,27.78,0
46,1,45.97,27.78,0
47,1,45.97,27.81,0
48,1,45.97,27.8,0
49,1,45.97,27.81,0
50,1,46,27.8,0
51,1,45.97,27.79,0
52,1,45.97,27.77,0
53,1,46,27.76,0
54,1,45.97,27.76,0
55,1,46,27.76,0
56,1,46,27.76,0
57,1,46.03,27.75,0
58,1,45.97,27.72,0
59,1,46,27.72,0
60,1,46,27.72,0
61,1,46,27.71,0
62,1,45.97,27.69,0
63,1,45.97,27.71,0
64,1,46,27.72,0
65,1,45.97,27.72,0
66,1,45.97,27.71,0
67,1,45.93,27.71,0
68,1,45.93,27.7,0
69,1,45.9,27.71,0
70,1,45.9,27.69,0
71,1,45.9,27.7,0
72,1,45.9,27.67,0
73,1,45.9,27.67,0
74,1,45.93,27.66,0
75,1,45.9,27.67,0
76,1,45.9,27.66,0
77,1,45.93,27.66,0
78,1,45.93,27.68,0
79,1,46,27.67,0
80,1,45.97,27.67,0
81,1,45.93,27.65,0
82,1,45.93,27.67,0
83,1,45.93,27.66,0
84,1,45.9,27.66,0
85,1,45.9,27.64,0
86,1,45.87,27.65,0
87,1,45.84,27.66,0
88,1,45.84,27.65,0
89,1,45.84,27.66,0
